,Dice,mcc,PPV,NPV,sensitivity,specificity,accuracy,FNR,FPR,FDR,FOR,F1,AUC,auc,Dice_3d,mcc_3d,PPV_3d,NPV_3d,sensitivity_3d,specificity_3d,Accuracy_3d,FNR_3d,FPR_3d,FDR_3d,FOR_3d,F1_3d,AUC_3d,auc_3d
Rat102,0.9451384031178175,0.9451270732131934,0.9674713584288053,0.999622455933831,0.92381324477437,0.9998460437603667,0.9994710371141172,0.07618675522563001,0.00015395623963332383,0.03252864157119473,0.0003775440661689539,0.9451384031178176,0.9618296442673684,0.9618296442673684,0.9464732366183092,0.9464968885714236,0.9700574241181296,0.9996234283700741,0.9240085954287947,0.9998586313774436,0.9994845261494585,0.07599140457120535,0.0001413686225564259,0.029942575881870437,0.00037657162992592476,0.9464732366183092,0.9619336134031191,0.9619336134031191
Rat133,0.8199023199023199,0.8186604028769576,0.8027495517035266,0.9987372694909739,0.8378041172800998,0.9983978482616653,0.997157667553089,0.16219588271990015,0.0016021517383346673,0.19725044829647342,0.0012627305090260948,0.8199023199023199,0.9181009827708826,0.9181009827708826,0.8808251053392868,0.8799346065484209,0.8880294192239412,0.9990174700046797,0.8737367436057393,0.9991426060697276,0.9981741627163063,0.12626325639426073,0.0008573939302723987,0.11197058077605881,0.000982529995320361,0.8808251053392867,0.9364396748377335,0.9364396748377335
Rat131,0.9431004961145014,0.9408887222168448,0.9700815137625036,0.9961161159549232,0.9175797185023814,0.9986630462969409,0.9950052029136316,0.0824202814976186,0.001336953703059085,0.029918486237496378,0.003883884045076807,0.9431004961145014,0.9581213823996613,0.9581213823996613,0.9510011572810446,0.9490000896050853,0.9727514350166395,0.9967093173243166,0.9302022596698063,0.9987689935715229,0.9956758006705978,0.0697977403301937,0.001231006428477066,0.02724856498336048,0.0032906826756834862,0.9510011572810446,0.9644856266206646,0.9644856266206646
Rat090,0.9406261245052177,0.9388245567326573,0.9413035649981994,0.9981763726592894,0.9399496583962603,0.9982199746051034,0.9965024858365129,0.060050341603739676,0.0017800253948966338,0.05869643500180055,0.0018236273407105693,0.9406261245052175,0.9690848165006818,0.9690848165006818,0.9459248667619914,0.9442900185840091,0.9403934998223112,0.9985272020712525,0.9515216893857671,0.9981683508903602,0.9967934635988747,0.04847831061423291,0.0018316491096398435,0.05960650017768876,0.0014727979287475657,0.9459248667619915,0.9748450201380637,0.9748450201380637
Rat180,0.9159426262348753,0.9132205400711348,0.9580908590176498,0.994385231542691,0.8773464912280702,0.9982363848913614,0.9929250009635026,0.12265350877192982,0.0017636151086386498,0.04190914098235021,0.005614768457308987,0.9159426262348753,0.9377914380597158,0.9377914380597158,0.918248981564593,0.9159093926782076,0.9660758390236815,0.9942774402909144,0.8749342105263158,0.998588100133027,0.9931552780668286,0.12506578947368419,0.0014118998669729876,0.03392416097631845,0.005722559709085655,0.9182489815645931,0.9367611553296714,0.9367611553296714
Rat097,0.9190882575348385,0.9183977889159511,0.9737153320871323,0.996238880975657,0.870264925500358,0.9993168416867367,0.9956700196554515,0.12973507449964194,0.0006831583132632657,0.026284667912867654,0.00376111902434299,0.9190882575348386,0.9347908835935475,0.9347908835935475,0.9393992746223458,0.9382282217703084,0.9712039025810915,0.9973763151826336,0.9096116471751509,0.9992157064937718,0.9966836243110957,0.09038835282484914,0.0007842935062282175,0.02879609741890854,0.0026236848173663983,0.9393992746223457,0.9544136768344613,0.9544136768344613
Rat115,0.8463343108504399,0.8495747153997948,0.9366075292081351,0.9987621678225573,0.7719329529243937,0.999716160081839,0.9984853740316799,0.22806704707560632,0.00028383991816105514,0.06339247079186494,0.0012378321774426135,0.8463343108504399,0.8858245565031163,0.8858245565031163,0.8441480891719745,0.8492127420034151,0.9551801801801801,0.9986772333178511,0.7562410841654779,0.9998072213525118,0.9984911550468262,0.24375891583452214,0.00019277864748823426,0.04481981981981986,0.0013227666821489395,0.8441480891719745,0.8780241527589948,0.8780241527589948
Rat093,0.8549523414836303,0.8565334051449883,0.9160746003552398,0.99950657958263,0.8014763014763014,0.9998174452770485,0.9993255482329364,0.19852369852369856,0.0001825547229514779,0.0839253996447602,0.0004934204173699437,0.8549523414836304,0.9006468733766749,0.9006468733766749,0.8581680033769523,0.8610907432089331,0.9394639556377079,0.9994776560369831,0.7898212898212899,0.9998734673613405,0.9993525263036189,0.21017871017871015,0.00012653263865947117,0.060536044362292096,0.0005223439630168888,0.8581680033769523,0.8948473785913152,0.8948473785913152
Rat086,0.9479348458406051,0.9477674289682237,0.9666320628800237,0.999523826610819,0.9299472107290626,0.9997817379672141,0.9993101321925464,0.07005278927093739,0.0002182620327858542,0.03336793711997632,0.00047617338918106903,0.947934845840605,0.9648644743481383,0.9648644743481383,0.9565091749747147,0.9562956075583596,0.9688277476950096,0.9996227136105338,0.9444999286631474,0.9997933786089627,0.9994199714803252,0.05550007133685264,0.00020662139103733157,0.031172252304990433,0.0003772863894662416,0.9565091749747148,0.9721466536360549,0.9721466536360549
Rat140,0.8509700176366843,0.8507106595479305,0.8950724637681159,0.998252133824951,0.811009559827713,0.9991199588471363,0.9973946891740857,0.18899044017228706,0.0008800411528636642,0.10492753623188411,0.0017478661750489433,0.8509700176366843,0.9050647593374246,0.9050647593374246,0.8592568234133509,0.8588349549866098,0.8982468202131316,0.9983675896586804,0.8235108729908603,0.999136490006914,0.9975257255174008,0.17648912700913966,0.0008635099930860424,0.10175317978686838,0.0016324103413195123,0.8592568234133509,0.9113236814988871,0.9113236814988871
Rat085,0.9207809273512296,0.9207976042664218,0.893768221574344,0.9997471890522205,0.9494773519163763,0.999435468096685,0.9991868038694262,0.05052264808362372,0.0005645319033149576,0.10623177842565601,0.0002528109477795256,0.9207809273512296,0.9744564100065307,0.9744564100065307,0.9257560153543676,0.925871929398465,0.8964641885766093,0.9997849597768231,0.9570267131242741,0.9994470879643348,0.9992359424981694,0.04297328687572588,0.0005529120356652095,0.10353581142339074,0.00021504022317688027,0.9257560153543676,0.9782369005443046,0.9782369005443046
Rat166,0.9130062138418684,0.9127037987900215,0.9774804052762378,0.9957666361906644,0.8565111058996951,0.9994156925729467,0.9953058157012371,0.14348889410030485,0.0005843074270532878,0.022519594723762193,0.004233363809335541,0.9130062138418685,0.9279633992363209,0.9279633992363209,0.921800191509735,0.921295974644437,0.9791674514974571,0.9961862290932283,0.8707829408020369,0.9994514057603388,0.9957509538674991,0.1292170591979631,0.0005485942396612487,0.020832548502542902,0.0038137709067717425,0.921800191509735,0.9351171732811878,0.9351171732811878
Rat128,0.9195975425162497,0.9187830746270516,0.9507794280103106,0.998133294700593,0.8903959997701018,0.9992140960978205,0.9973898716614638,0.10960400022989825,0.0007859039021794745,0.04922057198968943,0.0018667052994070005,0.9195975425162497,0.9448050479339611,0.9448050479339611,0.923893286426268,0.922816349160058,0.9429118544671174,0.9983920389279346,0.9056267601586298,0.9990651467298264,0.9974987474467183,0.09437323984137025,0.000934853270173619,0.05708814553288255,0.0016079610720654465,0.9238932864262679,0.952345953444228,0.952345953444228
Rat138,0.9460067062947721,0.944671159341125,0.956945729263028,0.9983032523795972,0.9353149487643159,0.9988955203809614,0.9972694338459167,0.06468505123568413,0.0011044796190385897,0.04305427073697199,0.0016967476204028714,0.9460067062947721,0.9671052345726386,0.9671052345726386,0.9505243914173,0.9494878856276181,0.9715196097714488,0.9981757285974049,0.93041742013261,0.9992841152693072,0.9975228350098277,0.06958257986739003,0.0007158847306928395,0.0284803902285512,0.001824271402595068,0.9505243914173,0.9648507677009585,0.9648507677009585
Rat135,0.9352962074784616,0.9341365548770064,0.9580149199417758,0.9980401537165222,0.913630053791428,0.9990904862695944,0.9971923536439665,0.08636994620857197,0.0009095137304055978,0.04198508005822421,0.001959846283477836,0.9352962074784616,0.9563602700305113,0.9563602700305113,0.9385644110709571,0.9371682137667205,0.936396217453258,0.9986538171576227,0.9407426687489155,0.9985485225082477,0.9972646163332948,0.059257331251084455,0.0014514774917523399,0.06360378254674204,0.0013461828423773628,0.9385644110709572,0.9696455956285815,0.9696455956285815
Rat152,0.941586809470124,0.9405674011547789,0.9760783024725175,0.9973666475671921,0.9094497566951373,0.9993505160670426,0.9968050256291672,0.09055024330486272,0.0006494839329573843,0.02392169752748252,0.0026333524328079495,0.9415868094701241,0.9544001363810899,0.9544001363810899,0.9402571746070943,0.9392509683283027,0.9760858419395004,0.997294606827407,0.9069656650900058,0.9993524992240898,0.9967366169499364,0.09303433490999424,0.000647500775910248,0.02391415806049957,0.0027053931725930015,0.9402571746070943,0.9531590821570478,0.9531590821570478
