,mcc,TP,FP,TN,FN,accuracy,precision,recall,f1score,sensitivity,specificity,false_omission_rate,auc
Rat102,0.9464968885714236,4730.0,146.0,1032615.0,389.0,0.9994845261494585,0.9700574241181296,0.9240085954287947,0.9464732366183092,0.9240085954287947,0.9998586313774436,0.00037657162992592476,0.9619336134031191
Rat133,0.8799346065484209,7003.0,883.0,1028982.0,1012.0,0.9981741627163063,0.8880294192239412,0.8737367436057393,0.8808251053392867,0.8737367436057393,0.9991426060697276,0.000982529995320361,0.9364396748377335
Rat131,0.9490000896050853,43553.0,1220.0,989839.0,3268.0,0.9956758006705978,0.9727514350166395,0.9302022596698063,0.9510011572810446,0.9302022596698063,0.9987689935715229,0.0032906826756834862,0.9644856266206646
Rat090,0.9442900185840091,29108.0,1845.0,1005444.0,1483.0,0.9967934635988747,0.9403934998223112,0.9515216893857671,0.9459248667619915,0.9515216893857671,0.9981683508903602,0.0014727979287475657,0.9748450201380637
Rat180,0.9159093926782076,39897.0,1401.0,990879.0,5703.0,0.9931552780668286,0.9660758390236815,0.8749342105263158,0.9182489815645931,0.8749342105263158,0.998588100133027,0.005722559709085655,0.9367611553296714
Rat097,0.9382282217703084,26678.0,791.0,1007760.0,2651.0,0.9966836243110957,0.9712039025810915,0.9096116471751509,0.9393992746223457,0.9096116471751509,0.9992157064937718,0.0026236848173663983,0.9544136768344613
Rat115,0.8492127420034151,4241.0,199.0,1032073.0,1367.0,0.9984911550468262,0.9551801801801801,0.7562410841654779,0.8441480891719745,0.7562410841654779,0.9998072213525118,0.0013227666821489395,0.8780241527589948
Rat093,0.8610907432089331,2033.0,131.0,1035175.0,541.0,0.9993525263036189,0.9394639556377079,0.7898212898212899,0.8581680033769523,0.7898212898212899,0.9998734673613405,0.0005223439630168888,0.8948473785913152
Rat086,0.9562956075583596,6620.0,213.0,1030658.0,389.0,0.9994199714803252,0.9688277476950096,0.9444999286631474,0.9565091749747148,0.9444999286631474,0.9997933786089627,0.0003772863894662416,0.9721466536360549
Rat140,0.8588349549866098,7839.0,888.0,1027473.0,1680.0,0.9975257255174008,0.8982468202131316,0.8235108729908603,0.8592568234133509,0.8235108729908603,0.999136490006914,0.0016324103413195123,0.9113236814988871
Rat085,0.925871929398465,4944.0,571.0,1032143.0,222.0,0.9992359424981694,0.8964641885766093,0.9570267131242741,0.9257560153543676,0.9570267131242741,0.9994470879643348,0.00021504022317688027,0.9782369005443046
Rat166,0.921295974644437,25992.0,553.0,1007478.0,3857.0,0.9957509538674991,0.9791674514974571,0.8707829408020369,0.921800191509735,0.8707829408020369,0.9994514057603388,0.0038137709067717425,0.9351171732811878
Rat128,0.922816349160058,15757.0,954.0,1019527.0,1642.0,0.9974987474467183,0.9429118544671174,0.9056267601586298,0.9238932864262679,0.9056267601586298,0.9990651467298264,0.0016079610720654465,0.952345953444228
Rat138,0.9494878856276181,24697.0,724.0,1010612.0,1847.0,0.9975228350098277,0.9715196097714488,0.93041742013261,0.9505243914173,0.93041742013261,0.9992841152693072,0.001824271402595068,0.9648507677009585
Rat135,0.9371682137667205,21686.0,1473.0,1013355.0,1366.0,0.9972646163332948,0.936396217453258,0.9407426687489155,0.9385644110709572,0.9407426687489155,0.9985485225082477,0.0013461828423773628,0.9696455956285815
Rat152,0.9392509683283027,26653.0,653.0,1007840.0,2734.0,0.9967366169499364,0.9760858419395004,0.9069656650900058,0.9402571746070943,0.9069656650900058,0.9993524992240898,0.0027053931725930015,0.9531590821570478
