,stroke_size
Rat085-24h,0.4977454040929587
Rat087-24h,1.046845492735191
Rat090-24h,2.9474505723204993
Rat092-24h,0.1726596523682892
Rat097-24h,2.825856553744171
Rat111-24h,2.3171272208733185
Rat112-24h,2.192160943461672
Rat113-24h,2.3731067175395997
Rat116-24h,2.0627625544378927
Rat118-24h,0.6911203607353452
Rat119-24h,3.656781130766563
Rat120-24h,2.7477164990172276
Rat128-24h,1.6763980421628706
Rat129-24h,2.9477396230778123
Rat130-24h,2.8243149497051685
Rat131-24h,4.5112151693837435
Rat132-24h,2.7129340578872316
Rat133-24h,0.772247273287856
Rat134-24h,3.1565306201102246
Rat135-24h,2.2210660191929703
Rat136-24h,1.1190118318109994
Rat137-24h,1.6223455505453424
Rat138-24h,2.5575211007052836
Rat140-24h,0.9171580529540988
Rat141-24h,3.467741935483871
Rat142-24h,0.6109569507072109
Rat144-24h,3.166840097121054
Rat145-24h,1.216132886268162
Rat146-24h,1.4429413805064168
Rat147-24h,3.031178941688827
Rat148-24h,1.2905152811500367
Rat149-24h,3.6440628974447913
Rat150-24h,0.5327205457278298
Rat172-24h,0.6157744633290939
Rat173-24h,0.28259529039966086
Rat174-24h,2.7747909199522103
